Parse Process Log
=================

------------------------------------------------------------
Step   Stack                                    Input                          Action
------------------------------------------------------------
1      $ programstruct                          program ...                    PREDICT programstruct -> program_head ; program_body .
2      $ . program_body ; program_head          program ...                    PREDICT program_head -> program id program_head'
3      $ . program_body ; program_head' id...   program ...                    MATCH 'program'
4      $ . program_body ; program_head' id      main ...                       MATCH 'id'
5      $ . program_body ; program_head'         ; ...                          PREDICT program_head' -> epsilon
6      $ . program_body ;                       ; ...                          REDUCE program_head' -> epsilon
7      $ . program_body ;                       ; ...                          REDUCE program_head -> program id program_head'
8      $ . program_body ;                       ; ...                          MATCH ';'
9      $ . program_body                         var ...                        PREDICT program_body -> const_declarations var_declarations subprogram_declarations compound_statement
10     $ . compound_statement subprogram_d...   var ...                        PREDICT const_declarations -> epsilon
11     $ . compound_statement subprogram_d...   var ...                        REDUCE const_declarations -> epsilon
12     $ . compound_statement subprogram_d...   var ...                        PREDICT var_declarations -> var var_decl_list
13     $ . compound_statement subprogram_d...   var ...                        MATCH 'var'
14     $ . compound_statement subprogram_d...   a ...                          PREDICT var_decl_list -> id idlist' : type ; var_decl_list_tail
15     $ . compound_statement subprogram_d...   a ...                          MATCH 'id'
16     $ . compound_statement subprogram_d...   : ...                          PREDICT idlist' -> epsilon
17     $ . compound_statement subprogram_d...   : ...                          REDUCE idlist' -> epsilon
18     $ . compound_statement subprogram_d...   : ...                          MATCH ':'
19     $ . compound_statement subprogram_d...   integer ...                    PREDICT type -> basic_type
20     $ . compound_statement subprogram_d...   integer ...                    PREDICT basic_type -> integer
21     $ . compound_statement subprogram_d...   integer ...                    MATCH 'integer'
22     $ . compound_statement subprogram_d...   ; ...                          REDUCE basic_type -> integer
23     $ . compound_statement subprogram_d...   ; ...                          REDUCE type -> basic_type
24     $ . compound_statement subprogram_d...   ; ...                          MATCH ';'
25     $ . compound_statement subprogram_d...   b ...                          PREDICT var_decl_list_tail -> id idlist' : type ; var_decl_list_tail
26     $ . compound_statement subprogram_d...   b ...                          MATCH 'id'
27     $ . compound_statement subprogram_d...   : ...                          PREDICT idlist' -> epsilon
28     $ . compound_statement subprogram_d...   : ...                          REDUCE idlist' -> epsilon
29     $ . compound_statement subprogram_d...   : ...                          MATCH ':'
30     $ . compound_statement subprogram_d...   integer ...                    PREDICT type -> basic_type
31     $ . compound_statement subprogram_d...   integer ...                    PREDICT basic_type -> integer
32     $ . compound_statement subprogram_d...   integer ...                    MATCH 'integer'
33     $ . compound_statement subprogram_d...   ; ...                          REDUCE basic_type -> integer
34     $ . compound_statement subprogram_d...   ; ...                          REDUCE type -> basic_type
35     $ . compound_statement subprogram_d...   ; ...                          MATCH ';'
36     $ . compound_statement subprogram_d...   function ...                   PREDICT var_decl_list_tail -> epsilon
37     $ . compound_statement subprogram_d...   function ...                   REDUCE var_decl_list_tail -> epsilon
38     $ . compound_statement subprogram_d...   function ...                   REDUCE var_decl_list_tail -> id idlist' : type ; var_decl_list_tail
39     $ . compound_statement subprogram_d...   function ...                   REDUCE var_decl_list -> id idlist' : type ; var_decl_list_tail
40     $ . compound_statement subprogram_d...   function ...                   REDUCE var_declarations -> var var_decl_list
41     $ . compound_statement subprogram_d...   function ...                   PREDICT subprogram_declarations -> subprogram ; subprogram_declarations
42     $ . compound_statement subprogram_d...   function ...                   PREDICT subprogram -> subprogram_head ; subprogram_body
43     $ . compound_statement subprogram_d...   function ...                   PREDICT subprogram_head -> function id formal_parameter : basic_type
44     $ . compound_statement subprogram_d...   function ...                   MATCH 'function'
45     $ . compound_statement subprogram_d...   func ...                       MATCH 'id'
46     $ . compound_statement subprogram_d...   ( ...                          PREDICT formal_parameter -> ( parameter_list )
47     $ . compound_statement subprogram_d...   ( ...                          MATCH '('
